Year,Month,typeOfHotel,hotelName,StreetAddress,City,State,ZipCode,Country,Longitude,Latitude
2013,September,Residence Inn,Residence Inn By Tysons Corner,8616 Westwood Center Dr,Vienna,VA,22182,USA,38.9292,-77.2482
2013,October,Marriott,Lancaster Marriott at Penn Square,25 S Queen St,Lancaster,Pennsylvania,17603,USA,40,-76.3
2013,December,Courtyard,Courtyard by Marriott Charlottesville - University Medical Center,1201 W Main St,Charlottesville,Virginia,22903,USA,38.0744,-78.4779
2014,February,Courtyard,Courtyard by Marriott Rochester Brighton,33 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,February,Courtyard,Courtyard New York LaGuardia Airport,9010 Ditmars Blvd,East Elmhurst,New York,11369,USA,40.7692,-73.8797
2014,March,Courtyard,Courtyard by Marriott Rochester Brighton,33 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,April,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,April,Marriott,Indianapolis North Marriott,3645 River Crossing Pkwy ,Indianapolis,Indiana,46240,USA,39.9179,-86.1042
2014,April,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,May,Courtyard,Courtyard Omaha La Vista,12560 Westport Pkwy,La Vista,Nebraska,68128,USA,41.1817,-96.1099
2014,May,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,June,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,July,Courtyard,Courtyard by Marriott Chevy Chase,5520 Wisconsin Ave,Chevy Chase,Maryland,20815,USA,38.9645,-77.0879
2014,July,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,July,Marriott,Chicago Marriott at Medical District/UIC,625 S Ashland Ave,Chicago,Illinois,60607,USA,41.8738,-87.666
2014,July,Marriott,Marriott Hollywood beach,2501 N Ocean Dr,Hollywood,Florida,33019,USA,26.0273,-80.1151
2014,July,Marriott,Miami Marriott Biscayne Bay,1633 N Bayshore Dr,Miami,Florida,33132,USA,25.7909,-80.1862
2014,July,Marriott,Key West Marriott Beachside Hotel,3841 N Roosevelt Blvd,Key West,Florida,33040,USA,24.571,-81.7523
2014,July,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,August,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,August,Residence Inn,Residence Inn by Marriott Miami Airport,1201 NW 42nd Ave,Miami,Florida,33126,USA,25.7838,-80.2619
2014,September,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,October,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,October,Courtyard,Courtyard Boston Logan Airport,225 William F McClellan Hwy,Boston,Masschussetts,02128,USA,42.3874,-71.0163
2014,Nov,Courtyard,Courtyard Boston Logan Airport,225 William F McClellan Hwy,Boston,Massachusetts,02128,USA,42.3874,-71.0163
2014,Nov,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,Nov,Residence Inn,Residence Inn Columbia,4950 Beaver Run Ct,Ellicott City,Maryland,21043,USA,39.2369,-76.815
2014,Dec,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2014,Dec,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2015,January,Courtyard,Courtyard by Marriott Rochester Brighton,34 Corporate Woods,Rochester,New York,14623,USA,43.1066,-77.6198
2015,Feb,Courtyard,Courtyard by Marriott Chicago Midway Airport,6610 S Cicero Ave,Bedford Park,Illinois,60638,USA,41.773,-87.7437
